corpus,experimental_file,experimental_utterance,responder,experimental_response,experimental_start_time_minutes,experimental_past_tense,experimental_plural,experimental_elan_coded,experimental_age_years,experimental_length,experimental_utt_num,experimental_response_time,experimental_age_months,control_length,control_age_months,control_utterance,control_response,control_response_time,speaker,control_start_time_minutes,control_age,control_past_tense,control_plural,control_file,diff
emily,021115,I doed this when I goed ow,CAR,mm hm,24.5438,TRUE,FALSE,TRUE,2.9596167008898013,7,4,-60,35,7,35,an all the kids take the balloons,all the kids are gonna take the balloons,0,CHI,13.72155,1095,FALSE,FALSE,021129,0
emily,021115,I doed this when I goed ow,CAR,mm hm,24.5438,TRUE,FALSE,TRUE,2.9596167008898013,7,4,-60,35,7,35,all three friends heard a new sound,all three friends heard a new sound,0,CHI,10.993916666666667,1081,FALSE,FALSE,021115,0
emily,021115,I doed this when I goed ow,CAR,mm hm,24.5438,TRUE,FALSE,TRUE,2.9596167008898013,7,4,-60,35,7,35,uh Zee I'm not playin with Carey,Zee says why,0,CHI,23.798166666666667,1081,FALSE,FALSE,021115,0
emily,030012,it died then the air comed out,CAR,oh,8.561333333,TRUE,FALSE,TRUE,3.0328542094455853,7,2,-60,36,7,36,take the pack I'm out of here,no you're not I wanna talk to you,0,CHI,20.3746,1118.75,FALSE,FALSE,030023,0
emily,030012,it died then the air comed out,CAR,oh,8.561333333,TRUE,FALSE,TRUE,3.0328542094455853,7,2,-60,36,7,36,I just point it at the tv,but then you don't pay attention,0,CHI,0.7013333333333333,1118.75,FALSE,FALSE,030023,0
emily,030012,it died then the air comed out,CAR,oh,8.561333333,TRUE,FALSE,TRUE,3.0328542094455853,7,2,-60,36,7,36,this is a good picnic I had,what do you do with that pizza that you got for Christmas or for your birthday,0,CHI,31.049416666666666,1107.75,FALSE,FALSE,030012,0
emily,030012,no she falled down,CAR,yeah she did,25.48353333,TRUE,FALSE,TRUE,3.0328542094455853,4,3,180,36,4,36,Care can we go,no we're playing,0,CHI,31.252183333333335,1118.75,FALSE,FALSE,030023,0
emily,030012,no she falled down,CAR,yeah she did,25.48353333,TRUE,FALSE,TRUE,3.0328542094455853,4,3,180,36,4,36,bump myself with that,no what'd you what are you doing with this,0,CHI,15.334833333333334,1118.75,FALSE,FALSE,030023,0
emily,030012,no she falled down,CAR,yeah she did,25.48353333,TRUE,FALSE,TRUE,3.0328542094455853,4,3,180,36,4,36,you hate the news,I don't hate it,0,CHI,3.5880666666666667,1118.75,FALSE,FALSE,030023,0
emily,040216,well it got teared down,CAR,uhhuh,9.31445,TRUE,FALSE,TRUE,4.210814510609172,5,1,230,50,5,50,can I do the banana,you're gonna do the banana one,0,CHI,7.7151499999999995,1538,FALSE,FALSE,040216,0
